Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,131.259995,132.880005,130.570007,130.820007,116.511932,5278200
2022-01-21,131.649994,131.869995,129.270004,129.350006,115.202705,5907000
2022-01-24,127.989998,129.149994,124.190002,128.820007,114.730682,13484000
2022-01-25,129.139999,137.339996,128.300003,136.100006,121.214432,19715700
2022-01-26,136.470001,137.070007,133.130005,134.259995,119.575668,8336000
2022-01-27,133.660004,134.750000,132.080002,132.520004,118.025993,5497300
2022-01-28,133.190002,134.529999,131.789993,134.500000,119.789421,5471500
2022-01-31,134.089996,134.089996,132.300003,133.570007,118.961166,5859000
2022-02-01,133.759995,135.960007,132.500000,135.529999,120.706757,6206400
2022-02-02,135.699997,137.559998,135.259995,137.250000,122.238647,5357200
2022-02-03,137.000000,138.759995,135.830002,137.779999,122.710686,6100800
2022-02-04,137.860001,138.820007,136.220001,137.149994,122.149605,4142000
2022-02-07,137.449997,137.820007,136.270004,137.240005,122.229759,3759000
2022-02-08,137.229996,137.520004,135.779999,137.020004,122.033813,4181800
2022-02-09,137.839996,138.350006,136.830002,137.789993,122.719574,5393500
2022-02-10,135.470001,136.559998,133.169998,133.520004,120.349030,5978600
2022-02-11,133.899994,134.710007,132.380005,132.690002,119.600906,4176200
2022-02-14,132.589996,132.649994,129.070007,130.149994,117.311455,5345300
2022-02-15,130.639999,131.679993,129.610001,129.940002,117.122177,4394000
2022-02-16,129.449997,130.440002,128.259995,129.179993,116.437134,4875600
2022-02-17,128.050003,128.500000,124.849998,124.970001,112.642441,6797000
2022-02-18,124.940002,125.440002,123.610001,124.349998,112.083595,4609200
2022-02-22,124.199997,125.000000,122.680000,123.919998,111.696022,5349700
2022-02-23,124.379997,124.699997,121.870003,122.070000,110.028511,4086400
2022-02-24,120.000000,122.099998,118.809998,121.970001,109.938385,6563200
2022-02-25,122.050003,124.260002,121.449997,124.180000,111.930359,4460900
2022-02-28,122.209999,123.389999,121.040001,122.510002,110.425110,6757300
2022-03-01,122.669998,123.389999,120.699997,121.349998,109.379524,4873300
2022-03-02,122.589996,124.639999,121.800003,123.860001,111.641937,4891400
2022-03-03,124.959999,126.669998,124.239998,125.930000,113.507736,5206600
2022-03-04,124.400002,127.349998,124.209999,126.620003,114.129684,4402400
2022-03-07,126.470001,127.910004,125.620003,126.070000,113.633926,5047400
2022-03-08,126.620003,128.350006,124.820000,125.680000,113.282410,4887600
2022-03-09,127.410004,128.100006,125.910004,126.220001,113.769135,4403500
2022-03-10,125.750000,126.029999,123.129997,124.349998,112.083595,5326800
2022-03-11,125.000000,126.769997,123.910004,123.959999,111.732071,4119600
2022-03-14,124.449997,125.160004,122.690002,123.940002,111.714043,3289200
2022-03-15,124.000000,125.940002,123.220001,125.639999,113.246338,4021200
2022-03-16,126.500000,127.279999,124.709999,127.040001,114.508255,4292800
2022-03-17,127.099998,128.289993,126.529999,127.959999,115.337502,3671900
2022-03-18,127.379997,128.929993,126.370003,128.759995,116.058571,7466000
2022-03-21,129.000000,129.740005,127.400002,128.100006,115.463684,3384600
2022-03-22,128.500000,129.300003,127.849998,129.059998,116.328987,2690200
2022-03-23,129.080002,129.320007,128.250000,128.300003,115.643951,2924500
2022-03-24,128.330002,129.369995,127.800003,129.250000,116.500237,2971100
2022-03-25,129.500000,131.399994,129.309998,131.350006,118.393097,3530200
2022-03-28,130.820007,131.500000,129.600006,131.470001,118.501236,2483500
2022-03-29,132.039993,132.839996,130.429993,131.940002,118.924896,5791000
2022-03-30,132.009995,133.080002,131.389999,132.130005,119.096146,2622900
2022-03-31,130.720001,131.880005,130.000000,130.020004,117.194275,4274000
2022-04-01,129.660004,130.270004,128.059998,130.149994,117.311455,4012400
2022-04-04,130.259995,130.449997,128.929993,130.270004,117.419617,2809800
2022-04-05,129.850006,131.229996,128.660004,128.889999,116.175758,3107200
2022-04-06,127.779999,129.509995,127.250000,129.389999,116.626434,3958100
2022-04-07,128.869995,129.250000,126.730003,128.550003,115.869301,3538300
2022-04-08,128.009995,128.779999,127.269997,127.730003,115.130180,3143300
2022-04-11,127.949997,128.179993,126.180000,126.370003,113.904350,3202500
2022-04-12,126.419998,127.339996,125.580002,125.980003,113.552811,2691000
2022-04-13,125.639999,126.669998,124.910004,126.139999,113.697021,3064900
2022-04-14,128.929993,130.580002,126.379997,126.559998,114.075584,6384200
2022-04-18,126.599998,127.389999,125.529999,126.169998,113.724068,4884200
2022-04-19,126.080002,129.399994,126.000000,129.149994,116.410103,7971400
2022-04-20,135.000000,139.559998,133.380005,138.320007,124.675552,17859200
2022-04-21,138.229996,141.880005,137.350006,139.850006,126.054619,9922300
2022-04-22,139.699997,140.440002,137.350006,138.250000,124.612450,6508600
2022-04-25,137.589996,139.649994,135.190002,139.100006,125.378578,5748300
2022-04-26,139.000000,139.869995,136.169998,136.190002,122.755653,4956200
2022-04-27,135.779999,137.119995,134.630005,135.059998,121.737122,4369100
2022-04-28,136.850006,136.990005,134.809998,135.740005,122.350044,4474300
2022-04-29,135.130005,135.550003,132.000000,132.210007,119.168259,5078700
2022-05-02,133.000000,133.770004,130.889999,133.039993,119.916367,4213500
2022-05-03,133.000000,133.600006,131.990005,132.520004,119.447685,3688600
2022-05-04,132.869995,137.869995,132.139999,137.399994,123.846313,5932600
2022-05-05,136.460007,137.259995,134.759995,135.919998,122.512276,5957400
2022-05-06,135.470001,137.990005,135.470001,137.669998,124.089661,7306400
2022-05-09,134.410004,136.350006,133.320007,134.440002,122.648239,7647900
2022-05-10,135.000000,135.410004,128.429993,129.130005,117.803993,8642400
2022-05-11,129.860001,132.960007,129.860001,130.750000,119.281876,5301100
2022-05-12,131.270004,133.619995,130.410004,132.899994,121.243301,5384800
2022-05-13,133.000000,133.800003,131.050003,133.600006,121.881927,4195100
2022-05-16,133.100006,136.509995,132.410004,135.029999,123.186478,4250400
2022-05-17,137.190002,138.369995,135.639999,138.369995,126.233513,4372900
2022-05-18,137.100006,137.619995,132.169998,132.940002,121.279823,6003000
2022-05-19,132.000000,132.320007,128.710007,129.660004,118.287498,5819700
2022-05-20,130.179993,130.369995,125.800003,128.479996,117.210976,6914500
2022-05-23,129.500000,131.949997,129.419998,131.169998,119.665054,3591500
2022-05-24,130.570007,134.369995,130.419998,133.800003,122.064369,4189700
2022-05-25,132.860001,134.820007,132.860001,134.389999,122.602608,3299300
2022-05-26,135.000000,137.550003,134.520004,136.889999,124.883354,3929300
2022-05-27,137.389999,139.740005,137.240005,139.270004,127.054604,4608000
2022-05-31,138.199997,139.830002,136.809998,138.839996,126.662308,7978100
2022-06-01,139.669998,140.470001,138.520004,139.429993,127.200554,3796500
2022-06-02,139.449997,140.289993,136.850006,140.149994,127.857414,3734800
2022-06-03,140.259995,142.580002,139.740005,141.179993,128.797058,4352200
2022-06-06,142.979996,144.729996,142.000000,142.880005,130.347961,4766900
2022-06-07,142.600006,142.979996,140.960007,142.779999,130.256714,2887100
2022-06-08,142.070007,142.800003,140.149994,140.830002,128.477798,3005700
2022-06-09,140.149994,141.039993,137.929993,137.960007,125.859505,3591000
2022-06-10,137.800003,137.800003,135.250000,136.190002,124.244766,4659500
2022-06-13,133.970001,137.570007,133.759995,135.110001,123.259460,6486000
2022-06-14,135.000000,136.949997,134.860001,135.720001,123.815979,4607800
2022-06-15,136.009995,138.449997,135.580002,137.059998,125.038437,4606900
2022-06-16,135.300003,136.240005,134.389999,135.669998,123.770340,5386400
2022-06-17,135.990005,136.979996,132.850006,135.020004,123.177361,12968500
2022-06-21,135.899994,138.500000,135.899994,137.850006,125.759163,4089300
2022-06-22,136.100006,138.179993,136.029999,137.080002,125.056664,3791500
2022-06-23,137.139999,138.619995,136.500000,138.440002,126.297394,4547900
2022-06-24,139.199997,142.369995,139.130005,142.059998,129.599899,11493000
2022-06-27,142.259995,143.830002,141.949997,142.800003,130.274994,3936000
2022-06-28,142.919998,144.160004,141.320007,141.860001,129.417435,4064800
2022-06-29,142.740005,143.520004,139.500000,140.710007,128.368317,4161500
2022-06-30,139.580002,142.460007,139.279999,141.190002,128.806198,4878000
2022-07-01,141.000000,141.669998,139.259995,141.119995,128.742340,4011900
2022-07-05,139.970001,139.970001,135.270004,137.619995,125.549332,6273400
2022-07-06,138.000000,139.139999,137.130005,138.080002,125.968987,3237000
2022-07-07,138.910004,141.320007,138.830002,140.830002,128.477798,3897100
2022-07-08,140.759995,141.320007,139.820007,140.470001,128.149368,2820800
2022-07-11,140.619995,141.869995,140.130005,141.000000,128.632874,3904700
2022-07-12,140.839996,141.550003,138.570007,139.179993,126.972488,3235400
2022-07-13,137.179993,138.899994,136.800003,137.179993,125.147919,4123200
2022-07-14,135.600006,139.429993,135.020004,139.059998,126.862991,5298400
